Key;English;Russian
Game.Story.14;In January Princess Anna and Prince Philip welcomed a daughter. The parents already decided to warn their child not to trust merchant’s tales and not to talk to stranger frogs.;В январе у короля и королевы родилась дочь. Родители уже решили, о чем предупредят малышку: не верить купцам и не разговаривать с незнакомыми жабами.

Game.OldStory.0;In January the little princess Anna was born. The royal neighbours to the North welcomed princess Zoe to the world too. Two royal families decided their daughters are going to be playmates and hopefully friends.;В январе родилась маленькая Анна. В соседнем королевстве на севере родилась принцесса Зоя. Семьи решили, что их дочери будут товарищами по играм и, надеюсь, подругами.
Game.OldStory.1;Neighbour kingdoms used the birth of the princess to strengthten ties between their realms and sent ambassadors with gifts. One unfortunate gift - a bird - bit the King’s finger though, what a diplomatic scandal.;Соседи использовали рождение девочки для укрепления связей между колевствами и прислали послов с подарками. Один несчастный подарок-птица-укусила короля за палец, какой дипломатический скандал.
Game.OldStory.2;Anna and Zoe played together when their parents met. Princess Anna cried, when the tower where she and Zoe played together burned during a thunderstorm, and people in the castle thought it was a bad omen.;Анна и Зоя играли вместе, когда их родители встретились. Княгиня Анна плакала, когда во время грозы горела башня, где они с Зоей играли, и люди в замке думали, что это дурное предзнаменование.
Game.OldStory.3;When Anna’s brother started his archery lessons, he taught his sister to shoot as well. The King objected, the Queen argued it was a useful skill for the princess too in these troubled times.;Когда брат Анны начал брать уроки стрельбы из лука, он научил стрелять и сестру. Король недоволен. Но королева возразила, что это полезно и для принцессы в наши смутные времена.
Game.OldStory.4;Rumors about Princess Zoe turning into a frog by wicked magic reached the kingdom. Zoe's parents wrote about Zoe's hives and burning fever after a stroll on a swamp to look at toads.;Слухи о превращении принцессы Зои в лягушку с помощью злой магии достигли королевства. Родители Зои писали о ее крапивнице и жаре после прогулки по болоту, в поисках на жаб.
Game.OldStory.5;The royals and the court go to the forest - to hunt a fantastic beast, the first known case of the Northern swamp plague was confirmed in the capital the day before they left for the hunt in a hurry.;Королевские особы отправляются в лес-охотиться на фантастического зверя, когда первый случай Северной Болотной чумы случился в столице за день до того, как они в спешке отправились на охоту.
Game.OldStory.6;The weather became chilly after the harvest, and the swamp plague abated. Time to celebrate this relief with a ball in the castle! The Princess cheers up with preparations and new dresses, but still misses Zoe.;После сбора урожая стало холодно, болотная чума отступила. Время, чтобы отпраздновать это в замке! Принцесса радуется приготовлениям и новым платьям, но все равно скучает по Зои.
Game.OldStory.7;Prince Philip from the nearby kingdom visits often and Princess Anna starts to like his company. He looks good in the new blue coat and dances well - it almost doesn’t look like he has two left feet!;Принц Филипп из соседнего королевства часто приезжает, и начинает нравиться Анне. Он хорошо выглядит в новом синем пальто и хорошо танцует. Почти не похоже, что у него две левые ноги!
Game.OldStory.8;Prince Philip added his letter to the intel the kingdoms exchange. Looks like the plague disappeared, playing the new ball game is fun but not next to breakable objects! Merry Christmas, dear Anna!;Принц Филипп прислал письмо с диппочтой. Похоже, чума исчезла, играть в новую игру с мячом весело, но не рядом с хрупкими объектами! Счастливого Рождества, дорогая Анна!
Game.OldStory.9;Running a family business takes a lot of learning, and a kingdom is definitely a family business for royals. Princess Anna failed a diplomacy test again.;Ведение семейного бизнеса требует большого обучения. Королевство - это семейный бизнес для членов королевской семьи. Принцесса Анна снова провалила экзамен по дипломатии.
Game.OldStory.10;Nasty gossip claims the princess gets married in a hurry and have no business to wear white. The royal guard have been dispatched to find the source of the rumor.;Мерзкие сплетни утверждают, что принцесса выходит замуж в спешке и не имеет права носить белое. Королевская гвардия отправлена на поиски источника слухов.
Game.OldStory.11;Prince Philip and Princess Anna’s wedding was great, but seven crows fell out of the sky after it, shocked by the mighty bell ringing. The old folk frown, the rest decide to view it as a good sign.;Свадьба принца Филиппа и принцессы Анны была великолепной. Семь ворон упали с неба после нее, потрясенные могучим звоном колокола. Старики хмурятся, остальные решают, что это хороший знак.
Game.OldStory.12;Philip’s parents get older and Princess Anna has to learn everything about her new home kingdom to rule it well while Philip is busy dealing with trouble in the far reaches of the realm.;Родители Филиппа стареют. Принцесса Анна должна узнать все о своем новом родном королевстве, чтобы хорошо управлять им. Пока Филипп решает проблему в дальних уголках королевства.
Game.OldStory.13;The new fear of a plague sparks up, people run for the hills, and some start robbing merchants on the mountain road! Princess Anna is scared, but talks possible quarantine measures with ambassadors.;Новый страх перед чумой вспыхивает, люди бегут в горы, а некоторые начинают грабить купцов на горной дороге! Принцесса Анна напугана, и обсуждает карантинные меры с послами.
Game.OldStory.14;In winter, when swamps are tamed by frost, Philip and Anna welcome a baby - Zoe, named after Anna’s lost friend. The new parents are going to teach Zoe to check rumors, keep away from swamps and hope for the best.;Зимой, у Филиппа и Анна родилась маленькая Зоя, названная в честь погибшей подруги. Родители собираются научить Зою проверять слухи, держаться подальше от болот и надеяться на лучшее.
Game.LoseScene.1;You saved {0} memories;Уцелело {0} эпизодов.
Game.LoseScene.2;Would you trust a merchant?;Все еще доверяешь торговцам?
Game.LoseScene.3;A strange talking toad?;Странная говорящая жаба?
Game.LoseScene.4;What about your own childhood memories?;Как насчет твоих детских воспоминаний?
Game.LoseScene.5;Let's play again!;Попробуй еще раз!
